Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,true,false,estimate,delta,true,	47,1.223,100.0,4433
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,	47,0.931,100.0,4433
4x4grid,N/A,1,6.62041894437_reward_max_goal,3,"0.2,1",0.01,false,false,estimate,delta,true,	47,0.06,100.0,121
4x4grid,N/A,1,6.62041894437_reward_max_goal,3,"0.2,1",0.01,false,false,estimate,delta,true,	47,0.06,100.0,121
4x4grid,N/A,1,6.018562676699999_reward_max_goal,3,"0.2,1",0.1,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.018562676699999_reward_max_goal,3,"0.2,1",0.1,true,false,estimate,delta,true,	47,0.061,100.0,25
4x4grid,N/A,1,6.6866231338137_reward_max_goal,3,"0.2,1",0.0001,true,false,estimate,delta,true,	47,0.316,100.0,1385
4x4grid,N/A,1,6.62041894437_reward_max_goal,3,"0.2,1",0.01,true,true,estimate,delta,true,	49,0.092,100.0,105
4x4grid,N/A,1,6.6866231338137_reward_max_goal,3,"0.2,1",0.0001,false,false,estimate,delta,true,	47,0.313,100.0,1385
4x4grid,N/A,1,6.62041894437_reward_max_goal,3,"0.2,1",0.01,true,false,estimate,delta,true,	47,0.062,100.0,121
4x4grid,N/A,1,6.018562676699999_reward_max_goal,3,"0.2,1",0.1,false,false,estimate,delta,true,	47,0.04,100.0,25
4x4grid,N/A,1,6.018562676699999_reward_max_goal,3,"0.2,1",0.1,true,true,estimate,delta,true,	49,0.061,100.0,25
4x4grid,N/A,1,6.6866231338137_reward_max_goal,3,"0.2,1",0.0001,false,false,estimate,delta,true,	47,0.316,100.0,1385
4x4grid,N/A,1,6.62041894437_reward_max_goal,3,"0.2,1",0.01,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.6866231338137_reward_max_goal,3,"0.2,1",0.0001,false,false,estimate,delta,true,?,MO,MO,MO
alarm,N/A,N/A,0.23584147736164202_probability_max_VENTTUBE=0,2,0.1,1e-05,true,true,estimate,delta,true,	15,0.151,100.0,85
alarm,N/A,N/A,0.233485397442_probability_max_VENTTUBE=0,2,0.1,0.01,true,false,estimate,delta,true,	31,0.141,100.0,49
alarm,N/A,N/A,0.21225945222_probability_max_VENTTUBE=0,2,0.1,0.1,true,true,estimate,delta,true,	15,0.141,100.0,17
alarm,N/A,N/A,0.21225945222_probability_max_VENTTUBE=0,2,0.1,0.1,true,false,estimate,delta,true,	31,0.175,100.0,21
alarm,N/A,N/A,0.23582025141642002_probability_max_VENTTUBE=0,2,0.1,0.0001,true,true,estimate,delta,true,	15,0.149,100.0,73
alarm,N/A,N/A,0.233485397442_probability_max_VENTTUBE=0,2,0.1,0.01,true,true,estimate,delta,true,	15,0.147,100.0,41
alarm,N/A,N/A,0.23584147736164202_probability_max_VENTTUBE=0,2,0.1,1e-05,true,false,estimate,delta,true,	31,0.145,100.0,89
alarm,N/A,N/A,0.23582025141642002_probability_max_VENTTUBE=0,2,0.1,0.0001,true,false,estimate,delta,true,	31,0.143,100.0,73
alarm,N/A,N/A,0.036409861105199996_probability_max_VENTTUBE=0,2,1e-06,0.01,true,false,estimate,delta,true,	31,0.139,100.0,29
alarm,N/A,N/A,0.0367772697036252_probability_max_VENTTUBE=0,2,1e-06,1e-05,true,false,estimate,delta,true,	31,0.143,100.0,69
alarm,N/A,N/A,0.033099873732000004_probability_max_VENTTUBE=0,2,1e-06,0.1,true,false,estimate,delta,true,	31,0.137,100.0,17
alarm,N/A,N/A,0.0367772697036252_probability_max_VENTTUBE=0,2,1e-06,1e-05,true,true,estimate,delta,true,	15,0.138,100.0,5
alarm,N/A,N/A,0.033099873732000004_probability_max_VENTTUBE=0,2,1e-06,0.1,true,true,estimate,delta,true,	15,0.138,100.0,5
alarm,N/A,N/A,0.036773959716252_probability_max_VENTTUBE=0,2,1e-06,0.0001,true,false,estimate,delta,true,	31,0.142,100.0,57
alarm,N/A,N/A,0.036409861105199996_probability_max_VENTTUBE=0,2,1e-06,0.01,true,true,estimate,delta,true,	15,0.137,100.0,5
alarm,N/A,N/A,0.036773959716252_probability_max_VENTTUBE=0,2,1e-06,0.0001,true,true,estimate,delta,true,	15,0.139,100.0,5
alarm,N/A,N/A,0.0364075514451_probability_max_VENTTUBE=0,2,0,0.01,true,true,estimate,delta,true,	15,0.139,100.0,5
alarm,N/A,N/A,0.0367749367369551_probability_max_VENTTUBE=0,2,0,1e-05,true,true,estimate,delta,true,	15,0.139,100.0,5
alarm,N/A,N/A,0.033097774041_probability_max_VENTTUBE=0,2,0,0.1,true,false,estimate,delta,true,	60,0.139,100.0,17
alarm,N/A,N/A,0.0364075514451_probability_max_VENTTUBE=0,2,0,0.01,true,false,estimate,delta,true,	60,0.14,100.0,29
