Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.10361769976663601_probability_min_observeIGreater1,2,1e-06,1e-05,true,false,estimate,delta,true,	84,33.961,100.0,187169
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.10361769976663601_probability_min_observeIGreater1,2,1e-06,1e-05,false,false,estimate,delta,true,	84,27.838,100.0,187129
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.10361769976663601_probability_min_observeIGreater1,2,1e-06,1e-05,true,true,estimate,delta,true,	42,62.709,100.0,144597
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.0166162823911623_probability_min_observeIGreater1,2,"0,0.8",1e-05,true,false,estimate,delta,true,	96,3.223,100.0,10345
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.0166162823911623_probability_min_observeIGreater1,2,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.0166162823911623_probability_min_observeIGreater1,2,"0,0.8",1e-05,true,true,estimate,delta,true,	52,4.753,100.0,8697
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.06860872548039401_probability_min_observeIGreater1,2,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.06860872548039401_probability_min_observeIGreater1,2,"0.2,1",1e-05,true,false,estimate,delta,true,	96,0.526,100.0,233
crowds,CrowdSize=10 TotalRuns=4 ,N/A,0.06860872548039401_probability_min_observeIGreater1,2,"0.2,1",1e-05,true,true,estimate,delta,true,	52,1.015,100.0,185
herman5_pla,N/A,N/A,1.93331684863818_reward_max_stable,1,0.1,1e-05,true,false,estimate,delta,true,	196,1.328,100.0,3993
herman5_pla,N/A,N/A,1.93331684863818_reward_max_stable,1,0.1,1e-05,true,true,estimate,delta,true,	89,0.578,100.0,823
herman5_pla,N/A,N/A,1.93331684863818_reward_max_stable,1,0.1,1e-05,false,false,estimate,delta,true,	196,1.095,100.0,3979
herman5_pla,N/A,N/A,1.9333168466382_reward_max_stable,1,1e-06,1e-05,true,true,estimate,delta,true,	89,0.637,100.0,823
herman5_pla,N/A,N/A,1.9333168466382_reward_max_stable,1,1e-06,1e-05,true,false,estimate,delta,true,	196,1.28,100.0,3795
herman5_pla,N/A,N/A,1.9333168466382_reward_max_stable,1,1e-06,1e-05,false,false,estimate,delta,true,	196,1.098,100.0,3787
herman5_pla,N/A,N/A,1.9333168466382_reward_max_stable,1,0,1e-05,true,true,estimate,delta,true,	89,0.934,100.0,631
herman5_pla,N/A,N/A,1.9333168466382_reward_max_stable,1,0,1e-05,true,false,estimate,delta,true,	196,1.932,100.0,3781
herman5_pla,N/A,N/A,1.9333168466382_reward_max_stable,1,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman5_pla,N/A,N/A,1.93331542265244_reward_max_stable,1,"0,0.8",1e-05,true,true,estimate,delta,true,	89,0.916,100.0,605
herman5_pla,N/A,N/A,1.93331542265244_reward_max_stable,1,"0,0.8",1e-05,true,false,estimate,delta,true,	196,1.944,100.0,3827
herman5_pla,N/A,N/A,1.93331542265244_reward_max_stable,1,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman5_pla,N/A,N/A,1.9333159186474802_reward_max_stable,1,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman5_pla,N/A,N/A,1.9333159186474802_reward_max_stable,1,"0.2,1",1e-05,true,false,estimate,delta,true,	196,1.995,100.0,3881
herman5_pla,N/A,N/A,1.9333159186474802_reward_max_stable,1,"0.2,1",1e-05,true,true,estimate,delta,true,	89,0.566,100.0,611
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,0.1,1e-05,true,false,estimate,delta,true,	1422,16.231,100.0,7767
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,0.1,1e-05,false,false,estimate,delta,true,	1422,13.462,100.0,7773
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,0.1,1e-05,true,true,estimate,delta,true,	680,5.992,100.0,2055
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,1e-06,1e-05,true,false,estimate,delta,true,	1422,16.243,100.0,7709
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,1e-06,1e-05,false,false,estimate,delta,true,	1422,13.199,100.0,7719
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,1e-06,1e-05,true,true,estimate,delta,true,	680,6.915,100.0,2167
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,0,1e-05,true,true,estimate,delta,true,	680,9.573,100.0,2083
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,0,1e-05,true,false,estimate,delta,true,	1422,26.018,100.0,7719
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,"0,0.8",1e-05,true,true,estimate,delta,true,	680,8.915,100.0,2009
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,"0,0.8",1e-05,true,false,estimate,delta,true,	1422,26.461,100.0,7767
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,"0.2,1",1e-05,true,false,estimate,delta,true,	1422,26.486,100.0,7783
herman7_pla,N/A,N/A,4.49327871976347_reward_max_stable,1,"0.2,1",1e-05,true,true,estimate,delta,true,	680,9.139,100.0,2009
herman9_pla,N/A,N/A,7.92096116059629_reward_max_stable,1,0.1,1e-05,true,true,estimate,delta,true,	3707,313.083,100.0,18971
herman9_pla,N/A,N/A,7.92096116059629_reward_max_stable,1,0.1,1e-05,false,false,estimate,delta,true,	8008,637.163,100.0,54379
herman9_pla,N/A,N/A,7.92096116059629_reward_max_stable,1,0.1,1e-05,true,false,estimate,delta,true,	8008,719.814,100.0,54551
herman9_pla,N/A,N/A,7.9209622915849796_reward_max_stable,1,1e-06,1e-05,true,true,estimate,delta,true,	3707,312.239,100.0,20937
herman9_pla,N/A,N/A,7.9209622915849796_reward_max_stable,1,1e-06,1e-05,false,false,estimate,delta,true,	8008,573.889,100.0,52821
herman9_pla,N/A,N/A,7.9209622915849796_reward_max_stable,1,1e-06,1e-05,true,false,estimate,delta,true,	8008,708.405,100.0,52893
herman9_pla,N/A,N/A,7.92100757313216_reward_max_stable,1,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman9_pla,N/A,N/A,7.92100757313216_reward_max_stable,1,0,1e-05,true,false,estimate,delta,true,	8008,1609.501,100.0,80383
herman9_pla,N/A,N/A,7.92100757313216_reward_max_stable,1,0,1e-05,true,true,estimate,delta,true,	3707,854.227,100.0,32725
herman9_pla,N/A,N/A,7.920964918968901_reward_max_stable,1,"0,0.8",1e-05,true,true,estimate,delta,true,	3707,548.796,100.0,19175
herman9_pla,N/A,N/A,7.920964918968901_reward_max_stable,1,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman9_pla,N/A,N/A,7.920964918968901_reward_max_stable,1,"0,0.8",1e-05,true,false,estimate,delta,true,	8008,1159.774,100.0,55877
herman9_pla,N/A,N/A,7.920962168047558_reward_max_stable,1,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman9_pla,N/A,N/A,7.920962168047558_reward_max_stable,1,"0.2,1",1e-05,true,true,estimate,delta,true,	3707,589.325,100.0,19025
herman9_pla,N/A,N/A,7.920962168047558_reward_max_stable,1,"0.2,1",1e-05,true,false,estimate,delta,true,	8008,1210.445,100.0,54849
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,0.1,1e-05,true,false,estimate,delta,true,	40690,1698.586,100.0,20245
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,0.1,1e-05,false,false,estimate,delta,true,	40690,1294.517,100.0,20253
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,0.1,1e-05,true,true,estimate,delta,true,	18872,791.51,100.0,8041
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,1e-06,1e-05,true,false,estimate,delta,true,	40690,1574.559,100.0,19225
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,1e-06,1e-05,false,false,estimate,delta,true,	40690,1271.777,100.0,19231
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,1e-06,1e-05,true,true,estimate,delta,true,	18872,729.538,100.0,7983
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,0,1e-05,true,true,estimate,delta,true,	18872,1552.784,100.0,7965
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,0,1e-05,true,false,estimate,delta,true,	40690,2290.514,100.0,19239
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,"0,0.8",1e-05,true,true,estimate,delta,true,	18872,1524.022,100.0,7985
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,"0,0.8",1e-05,true,false,estimate,delta,true,	40690,2416.55,100.0,20233
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,"0.2,1",1e-05,true,true,estimate,delta,true,	18872,1613.282,100.0,7965
herman11_pla,N/A,N/A,12.1020120286695_reward_max_stable,1,"0.2,1",1e-05,true,false,estimate,delta,true,	40690,2393.511,100.0,20201
herman_random_pass_speedreducer_2-3,N/A,N/A,0.5833283945900759_reward_max_stable,3,0.1,1e-05,true,true,estimate,delta,true,	22,MO,MO,MO
herman_random_pass_speedreducer_2-3,N/A,N/A,0.5833283945900759_reward_max_stable,3,0.1,1e-05,false,false,estimate,delta,true,	22,ERR,ERR,ERR
herman_random_pass_speedreducer_2-3,N/A,N/A,0.5833283945900759_reward_max_stable,3,0.1,1e-05,true,false,estimate,delta,true,	22,MO,MO,MO
herman_random_pass_speedreducer_2-3,N/A,N/A,0.5833287700833055_reward_max_stable,3,1e-06,1e-05,true,false,estimate,delta,true,	22,MO,MO,MO
herman_random_pass_speedreducer_2-3,N/A,N/A,0.5833287700833055_reward_max_stable,3,1e-06,1e-05,false,false,estimate,delta,true,	22,ERR,ERR,ERR
herman_random_pass_speedreducer_2-3,N/A,N/A,0.5833287700833055_reward_max_stable,3,1e-06,1e-05,true,true,estimate,delta,true,	22,MO,MO,MO
